Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release,Week,Long Weekend,dates
"$91,647,587",-31.9%,130929381,-19%,56,Stuart Little,1,False,2000-01-02
"$105,023,114",+14.6%,146456782,+11.9%,57,Next Friday,2,False,2000-01-09
"$67,541,452",-35.7%,105493208,-28%,58,Next Friday,3,False,2000-01-16
"$53,744,545",-20.4%,86115844,-18.4%,60,Eye of the Beholder,4,False,2000-01-23
"$81,219,487",+51.1%,110651459,+28.5%,55,Scream 3,5,False,2000-01-30
"$91,574,033",+12.7%,119011145,+7.6%,54,Scream 3,6,False,2000-02-06
"$125,653,555",+37.2%,159098936,+33.7%,61,The Whole Nine Yards,7,False,2000-02-13
"$82,543,725",-34.3%,112645978,-29.2%,55,The Whole Nine Yards,8,False,2000-02-20
"$65,131,988",-21.1%,104391273,-7.3%,55,The Whole Nine Yards,9,False,2000-02-27
"$81,555,885",+25.2%,116850435,+11.9%,60,Mission to Mars,10,False,2000-03-05
"$97,805,714",+19.9%,126889619,+8.6%,56,Erin Brockovich,11,False,2000-03-12
"$93,828,008",-4.1%,117052123,-7.8%,61,Erin Brockovich,12,False,2000-03-19
"$91,979,242",-2%,114129245,-2.5%,57,Erin Brockovich,13,False,2000-03-26
"$88,457,668",-3.8%,108007567,-5.4%,54,Rules of Engagement,14,False,2000-04-02
"$89,439,402",+1.1%,117033830,+8.4%,55,Rules of Engagement,15,False,2000-04-09
"$94,479,647",+5.6%,123191263,+5.3%,57,U-571,16,False,2000-04-16
"$80,455,713",-14.8%,101038470,-18%,53,U-571,17,False,2000-04-23
"$99,624,240",+23.8%,118034511,+16.8%,53,Gladiator,18,False,2000-04-30
"$88,870,413",-10.8%,113422887,-3.9%,54,Gladiator,19,False,2000-05-07
"$146,967,578",+65.4%,171131342,+50.9%,55,Dinosaur,20,False,2000-05-14
"$198,476,946",+35%,217816716,+27.3%,61,Mission: Impossible II,21,False,2000-05-21
"$133,703,846",-32.6%,146653600,-32.7%,58,Mission: Impossible II,22,False,2000-05-28
"$131,619,154",-1.6%,143602030,-2.1%,53,Gone in 60 Seconds,23,False,2000-06-04
"$136,553,292",+3.7%,153808030,+7.1%,60,Shaft,24,False,2000-06-11
"$145,130,620",+6.3%,168576763,+9.6%,59,"Me, Myself & Irene",25,False,2000-06-18
"$218,440,907",+50.5%,239732067,+42.2%,66,The Perfect Storm,26,False,2000-06-25
"$193,690,262",-11.3%,213615565,-10.9%,71,Scary Movie,27,False,2000-07-02
"$202,261,899",+4.4%,223061116,+4.4%,69,X-Men,28,False,2000-07-09
"$187,787,415",-7.2%,212627599,-4.7%,69,What Lies Beneath,29,False,2000-07-16
"$172,321,887",-8.2%,194226580,-8.7%,58,Nutty Professor II: The Klumps,30,False,2000-07-23
"$167,202,437",-3%,190996874,-1.7%,64,Hollow Man,31,False,2000-07-30
"$132,895,736",-20.5%,159925000,-16.3%,66,Hollow Man,32,False,2000-08-06
"$111,066,662",-16.4%,141411746,-11.6%,64,The Cell,33,False,2000-08-13
"$93,160,197",-16.1%,124027512,-12.3%,60,Bring It On,34,False,2000-08-20
"$78,190,035",-16.1%,119075960,-4%,60,Bring It On,35,False,2000-08-27
"$52,765,962",-32.5%,76947488,-35.4%,59,The Watcher,36,False,2000-09-03
"$44,425,053",-15.8%,69005251,-10.3%,63,The Watcher,37,False,2000-09-10
"$55,877,471",+25.8%,78629799,+13.9%,60,The Exorcist2000 Director's Cut,38,False,2000-09-17
"$63,664,928",+13.9%,82674073,+5.1%,55,Remember the Titans,39,False,2000-09-24
"$96,340,135",+51.3%,114415040,+38.4%,58,Meet the Parents,40,False,2000-10-01
"$89,897,651",-6.7%,106613514,-6.8%,58,Meet the Parents,41,False,2000-10-08
"$85,134,437",-5.3%,102362706,-4%,61,Meet the Parents,42,False,2000-10-15
"$85,037,407",-0.1%,102848126,+0.5%,66,Meet the Parents,43,False,2000-10-22
"$116,411,515",+36.9%,131649454,+28%,59,Charlie's Angels,44,False,2000-10-29
"$112,675,616",-3.2%,128217358,-2.6%,54,Charlie's Angels,45,False,2000-11-05
"$235,957,823",+109.4%,265939956,+107.4%,58,How the Grinch Stole Christmas,46,False,2000-11-12
