DATE,EXCAUS
1/1/1971,1.0118
2/1/1971,1.0075
3/1/1971,1.0064
4/1/1971,1.0077
5/1/1971,1.0087
6/1/1971,1.0213
7/1/1971,1.0213
8/1/1971,1.013
9/1/1971,1.013
10/1/1971,1.0047
11/1/1971,1.0039
12/1/1971,0.9993
1/1/1972,1.0059
2/1/1972,1.0047
3/1/1972,0.9985
4/1/1972,0.9957
5/1/1972,0.9889
6/1/1972,0.9795
7/1/1972,0.984
8/1/1972,0.9824
9/1/1972,0.983
10/1/1972,0.9827
11/1/1972,0.9874
12/1/1972,0.9968
1/1/1973,0.9993
2/1/1973,0.9956
3/1/1973,0.9967
4/1/1973,1.0007
5/1/1973,1.0008
6/1/1973,0.9984
7/1/1973,0.9995
8/1/1973,1.0039
9/1/1973,1.0083
10/1/1973,1.0011
11/1/1973,0.9991
12/1/1973,0.9994
1/1/1974,0.9915
2/1/1974,0.9766
3/1/1974,0.972
4/1/1974,0.9676
5/1/1974,0.9623
6/1/1974,0.9664
7/1/1974,0.9763
8/1/1974,0.9799
9/1/1974,0.9864
10/1/1974,0.983
11/1/1974,0.9874
12/1/1974,0.9882
1/1/1975,0.9948
2/1/1975,1.0004
3/1/1975,1.0005
4/1/1975,1.011
5/1/1975,1.0286
6/1/1975,1.0264
7/1/1975,1.0309
8/1/1975,1.0354
9/1/1975,1.0263
10/1/1975,1.0251
11/1/1975,1.0139
12/1/1975,1.0139
1/1/1976,1.0065
2/1/1976,0.9935
3/1/1976,0.9859
4/1/1976,0.9836
5/1/1976,0.9802
6/1/1976,0.9736
7/1/1976,0.9722
8/1/1976,0.9854
9/1/1976,0.9751
10/1/1976,0.9727
11/1/1976,0.9859
12/1/1976,1.0183
1/1/1977,1.0103
2/1/1977,1.0279
3/1/1977,1.0513
4/1/1977,1.0515
5/1/1977,1.0486
6/1/1977,1.0577
7/1/1977,1.0612
8/1/1977,1.075
9/1/1977,1.0733
10/1/1977,1.0989
11/1/1977,1.1093
12/1/1977,1.0973
1/1/1978,1.1012
2/1/1978,1.113
3/1/1978,1.1258
4/1/1978,1.1417
5/1/1978,1.1186
6/1/1978,1.1218
7/1/1978,1.1246
