DATE,DSPIC96
2000-04-01,9452.9666666666666667
2000-07-01,9575.4333333333333333
2000-10-01,9634.9333333333333333
2001-01-01,9713.3666666666666667
2001-04-01,9688.4333333333333333
2001-07-01,9899.7666666666666667
2001-10-01,9735.3666666666666667
2002-01-01,9963.9333333333333333
2002-04-01,10044.5333333333333333
2002-07-01,10059.4666666666666667
2002-10-01,10123.4000000000000000
2003-01-01,10117.5666666666666667
2003-04-01,10244.6000000000000000
2003-07-01,10424.1000000000000000
2003-10-01,10452.7666666666666667
2004-01-01,10499.2000000000000000
2004-04-01,10608.2333333333333333
2004-07-01,10684.3333333333333333
2004-10-01,10819.2000000000000000
2005-01-01,10688.2666666666666667
2005-04-01,10792.0333333333333333
2005-07-01,10837.1000000000000000
2005-10-01,10928.0666666666666667
2006-01-01,11147.9333333333333333
2006-04-01,11190.4000000000000000
2006-07-01,11212.7333333333333333
2006-10-01,11355.3000000000000000
2007-01-01,11439.4333333333333333
2007-04-01,11491.3333333333333333
2007-07-01,11511.2333333333333333
2007-10-01,11529.3333333333333333
2008-01-01,11548.7666666666666667
2008-04-01,11772.3000000000000000
2008-07-01,11537.4666666666666667
2008-10-01,11661.9666666666666667
2009-01-01,11636.7000000000000000
2009-04-01,11699.2666666666666667
2009-07-01,11557.3666666666666667
2009-10-01,11579.7000000000000000
2010-01-01,11667.4333333333333333
2010-04-01,11860.9000000000000000
2010-07-01,11936.6333333333333333
2010-10-01,11980.3333333333333333
2011-01-01,12094.9000000000000000
2011-04-01,12064.1333333333333333
2011-07-01,12117.7333333333333333
2011-10-01,12152.3000000000000000
2012-01-01,12375.6666666666666667
2012-04-01,12486.4333333333333333
2012-07-01,12404.7333333333333333
2012-10-01,12750.9000000000000000
2013-01-01,12248.6333333333333333
2013-04-01,12339.7666666666666667
2013-07-01,12387.2333333333333333
2013-10-01,12424.6666666666666667
2014-01-01,12580.4666666666666667
2014-04-01,12747.0666666666666667
2014-07-01,12890.0666666666666667
2014-10-01,13069.5333333333333333
2015-01-01,13243.4000000000000000
2015-04-01,13280.0666666666666667
2015-07-01,13357.000000000000
2015-10-01,13439.833333333333
2016-01-01,13541.633333333333
2016-04-01,13519.533333333333
2016-07-01,13584.766666666667
2016-10-01,13656.933333333333
2017-01-01,13790.333333333333
2017-04-01,13927.233333333333
2017-07-01,14006.900000000000
2017-10-01,14063.666666666667
2018-01-01,14204.800000000000
2018-04-01,14323.833333333333
2018-07-01,14476.866666666667
2018-10-01,14634.733333333333
2019-01-01,14823.466666666667
2019-04-01,14822.600000000000
2019-07-01,14944.266666666667
2019-10-01,15041.566666666667
2020-01-01,15130.333333333333
2020-04-01,16647.366666666667
2020-07-01,15970.366666666667
2020-10-01,15596.033333333333
2021-01-01,17325.266666666667
2021-04-01,15921.233333333333
2021-07-01,15734.833333333333
2021-10-01,15537.333333333333
2022-01-01,15109.133333333333
2022-04-01,15021.566666666667
2022-07-01,15140.666666666667
2022-10-01,15324.800000000000
