DATE,rec
2002-01-01,129.612
2002-04-01,131.464
2002-07-01,133.147
2002-10-01,135.905
2003-01-01,138.207
2003-04-01,145.264
2003-07-01,154.984
2003-10-01,161.398
2004-01-01,165.999
2004-04-01,170.554
2004-07-01,175.861
2004-10-01,180.2
2005-01-01,188.572
2005-04-01,195.688
2005-07-01,199.032
2005-10-01,204.46
2006-01-01,216.696
2006-04-01,218.86
2006-07-01,223.82
2006-10-01,233.71
2007-01-01,238.347
2007-04-01,244.809
2007-07-01,254.08
2007-10-01,259.243
2008-01-01,254.792
2008-04-01,261.32
2008-07-01,256.48
2008-10-01,241.37
2009-01-01,242.945
2009-04-01,238.173
2009-07-01,245.544
2009-10-01,250.525
2010-01-01,255.154
2010-04-01,261.256
2010-07-01,265.694
2010-10-01,271.523
2011-01-01,279.258
2011-04-01,285.276
2011-07-01,290.724
2011-10-01,296.876
2012-01-01,303.728
2012-04-01,307.71
2012-07-01,314.414
2012-10-01,321.433
2013-01-01,333.785
2013-04-01,335.975
2013-07-01,342.18
2013-10-01,346.071
2014-01-01,352.069
2014-04-01,360.674
2014-07-01,369.609
2014-10-01,376.307
2015-01-01,379.37
2015-04-01,382.359
2015-07-01,389.895
2015-10-01,397.318
2016-01-01,408.98
2016-04-01,418.689
2016-07-01,427.882
2016-10-01,434.675
2017-01-01,445.153
2017-04-01,458.124
2017-07-01,462.092
2017-10-01,481.682
2018-01-01,494.034
2018-04-01,506.485
2018-07-01,517.553
2018-10-01,521.926
2019-01-01,534.363
2019-04-01,557.803
2019-07-01,581.056
2019-10-01,595.283
2020-01-01,610.84
2020-04-01,674.947
2020-07-01,765.371
2020-10-01,767.532
2021-01-01,825.318
2021-04-01,848.321
2021-07-01,843.799
2021-10-01,867.945
2022-01-01,890.072
2022-04-01,893.198
2022-07-01,913.744
2022-10-01,906.561
