DATE,gross,cpi
1/1/2000,1599313548,170.1
4/1/2000,1820995213,171.4333333
7/1/2000,2061553338,173
10/1/2000,1994362673,174.2333333
1/1/2001,1737935031,175.9
4/1/2001,1868809900,177.1333333
7/1/2001,2208229913,177.6333333
10/1/2001,2144321984,177.5
1/1/2002,2089641421,178.0666667
4/1/2002,2440957646,179.4666667
7/1/2002,2277419609,180.4333333
10/1/2002,2356894762,181.5
1/1/2003,1995420606,183.3666667
4/1/2003,2411895534,183.0666667
7/1/2003,2405014618,184.4333333
10/1/2003,2420622470,185.1333333
1/1/2004,2114906060,186.7
4/1/2004,2536248727,188.1666667
7/1/2004,2397775918,189.3666667
10/1/2004,2305705307,191.4
1/1/2005,2019460461,192.3666667
4/1/2005,2236780753,193.6666667
7/1/2005,2269672737,196.6
10/1/2005,2307704360,198.4333333
1/1/2006,2021028188,199.4666667
4/1/2006,2409651381,201.2666667
7/1/2006,2457860952,203.1666667
10/1/2006,2314501420,202.3333333
1/1/2007,2161093052,204.317
4/1/2007,2480649077,206.631
7/1/2007,2773239687,207.939
10/1/2007,2264038036,210.4896667
1/1/2008,2216936112,212.7696667
4/1/2008,2507023199,215.5376667
7/1/2008,2625506650,218.861
10/1/2008,2303182624,213.8486667
1/1/2009,2429351550,212.3776667
4/1/2009,2828557751,213.507
7/1/2009,2608231627,215.344
10/1/2009,2749745355,217.03
1/1/2010,2647418567,217.374
4/1/2010,2725674879,217.2973333
7/1/2010,2740868749,217.9343333
10/1/2010,2471425964,219.699
1/1/2011,2094029056,222.0436667
4/1/2011,2835425500,224.5683333
7/1/2011,2893037555,226.0326667
10/1/2011,2333203248,227.0473333
1/1/2012,2593311679,228.326
4/1/2012,2826021556,228.808
7/1/2012,2698643131,229.841
10/1/2012,2725665006,231.3693333
1/1/2013,2272778134,232.2993333
4/1/2013,3060536205,232.045
7/1/2013,2871305236,233.3
10/1/2013,2750905225,234.1626667
1/1/2014,2399896607,235.621
4/1/2014,2836836996,236.8723333
7/1/2014,2504769341,237.4783333
10/1/2014,2627358905,236.8883333
1/1/2015,2474840407,235.355
4/1/2015,3111375596,236.96
7/1/2015,2651981596,237.855
10/1/2015,2910583148,237.837
1/1/2016,2784471480,237.6893333
4/1/2016,2803870622,239.5903333
7/1/2016,2978884035,240.6073333
10/1/2016,2807999318,242.1346667
1/1/2017,2912280871,243.8386667
4/1/2017,2705602209,244.12
7/1/2017,2562244996,245.287
10/1/2017,2895259444,247.2383333
1/1/2018,2858379432,249.3216667
4/1/2018,3347412357,250.679
7/1/2018,2734900097,251.6863333
10/1/2018,2951468125,252.711
1/1/2019,2400027437,253.414
4/1/2019,3261698580,255.22
7/1/2019,2812620625,256.085
10/1/2019,2889014247,257.8876667
1/1/2020,1789173905,258.803
4/1/2020,4725480,256.3153333
7/1/2020,126154944,259.2393333
10/1/2020,193792471,261.0446667
1/1/2021,236495603,263.734
4/1/2021,811084276,268.5576667
7/1/2021,1367417382,272.8873333
10/1/2021,2067811192,278.7066667
1/1/2022,1345031029,284.8936667
4/1/2022,2325778439,291.5356667
7/1/2022,1923613844,295.4956667
10/1/2022,1774933958,298.525
