q1 gross,q2 gross,q3 gross,q4 gross
1599313548,1820995213,2061553338,1994362673
1737935031,1868809900,2208229913,2144321984
2089641421,2440957646,2277419609,2356894762
1995420606,2411895534,2405014618,2420622470
2114906060,2536248727,2397775918,2305705307
2019460461,2236780753,2269672737,2307704360
2021028188,2409651381,2457860952,2314501420
2161093052,2480649077,2773239687,2264038036
2216936112,2507023199,2625506650,2303182624
2429351550,2828557751,2608231627,2749745355
2647418567,2725674879,2740868749,2471425964
2094029056,2835425500,2893037555,2333203248
2593311679,2826021556,2698643131,2725665006
2272778134,3060536205,2871305236,2750905225
2399896607,2836836996,2504769341,2627358905
2474840407,3111375596,2651981596,2910583148
2784471480,2803870622,2978884035,2807999318
2912280871,2705602209,2562244996,2895259444
2858379432,3347412357,2734900097,2951468125
2400027437,3261698580,2812620625,2889014247
1789173905,4725480,126154944,193792471
236495603,811084276,1367417382,2067811192
1345031029,2325778439,1923613844,1774933958
