,q1 gross,q2 gross,q3 gross,q4 gross
0,133698921,23565886,46159490,84563118
1,165356172,6034968,54888011,190274624
2,154821597,102799873,154336341,52614445
3,153602060,287607314,197262064,186361247
4,70340201,279991134,391603659,176187463
5,858287167,387989657,437331151,403012063
6,565092372,448112248,294043079,663477903
7,586663552,719462678,920708358,86191432
8,679586647,791557414,853761398,503303229
9,735507104,940630813,900076324,527784230
10,747325153,775065963,915151967,638917311
11,805248043,637438918,912865760,647574546
12,848510689,789454626,1015231704,779485933
13,920096405,854496815,1109825134,791219513
14,1169228320,988473999,1325052473,772609952
15,1082569421,1073247859,1301714452,922023654
16,1029975681,939752774,1226096659,1031765861
17,1090547186,1125414634,1133362803,1000995777
18,1031958910,1132067053,1519285865,1178297168
19,1312853239,1106376620,1639412521,1141787507
20,1503346036,1252018964,1525285193,1225573256
21,1584603253,1375745655,1557577325,1296866197
22,1493520001,1360746581,1694111911,1354574754
23,1599313548,1554534240,1916805245,1519045557
24,1737935031,1831593404,2221434581,1640336114
25,2089641421,1820995213,2061553338,1794195200
26,1995420606,1868809900,2208229913,1994362673
27,2114906060,2440957646,2277419609,2144321984
28,2019460461,2411895534,2405014618,2356894762
29,2021028188,2536248727,2397775918,2420622470
30,2161093052,2236780753,2269672737,2305705307
31,2216936112,2409651381,2457860952,2307704360
32,2429351550,2480649077,2773239687,2314501420
33,2647418567,2507023199,2625506650,2264038036
34,2094029056,2828557751,2608231627,2303182624
35,2593311679,2725674879,2740868749,2749745355
36,2272778134,2835425500,2893037555,2471425964
37,2399896607,2826021556,2698643131,2333203248
38,2474840407,3060536205,2871305236,2725665006
39,2784471480,2836836996,2504769341,2750905225
40,2912280871,3111375596,2651981596,2627358905
41,2858379432,2803870622,2978884035,2910583148
42,2400027437,2705602209,2562244996,2807999318
43,1789173905,3347412357,2734900097,2895259444
44,236495603,3261698580,2812620625,2951468125
45,1345031029,4725480,126154944,2889014247
46,1722340814,811084276,1367417382,193792471
47,,2325778439,1923613844,2067811192
48,,432928028,,1774933958
