DATE,ffr,inflation,u
1/1/60,3.933333333,2.11581,5.133333333
4/1/60,3.696666667,1.77187,5.233333333
7/1/60,2.936666667,1.21279,5.533333333
10/1/60,2.296666667,1.09529,6.266666667
1/1/61,2.003333333,0.87241,6.8
4/1/61,1.733333333,0.97933,7
7/1/61,1.683333333,1.52505,6.766666667
10/1/61,2.4,1.30011,6.2
1/1/62,2.456666667,1.2973,5.633333333
4/1/62,2.606666667,1.40086,5.533333333
7/1/62,2.846666667,1.28755,5.566666667
10/1/62,2.923333333,1.17647,5.533333333
1/1/63,2.966666667,1.17396,5.766666667
4/1/63,2.963333333,1.16897,5.733333333
7/1/63,3.33,1.27119,5.5
10/1/63,3.453333333,1.58562,5.566666667
1/1/64,3.463333333,1.89873,5.466666667
4/1/64,3.49,1.57563,5.2
7/1/64,3.456666667,1.35983,5
10/1/64,3.576666667,1.35276,4.966666667
1/1/65,3.976666667,1.24224,4.9
4/1/65,4.08,1.44778,4.666666667
7/1/65,4.076666667,1.34159,4.366666667
10/1/65,4.166666667,1.3347,4.1
1/1/66,4.56,1.43149,3.866666667
4/1/66,4.913333333,2.14067,3.833333333
7/1/66,5.41,2.95316,3.766666667
10/1/66,5.563333333,3.44478,3.7
1/1/67,4.823333333,3.52823,3.833333333
4/1/67,3.99,3.29341,3.833333333
7/1/67,3.893333333,3.46192,3.8
10/1/67,4.173333333,3.52595,3.9
1/1/68,4.79,4.18695,3.733333333
4/1/68,5.983333333,4.44444,3.566666667
7/1/68,5.946666667,4.78011,3.533333333
10/1/68,5.916666667,5.20341,3.4
1/1/69,6.566666667,5.3271,3.4
4/1/69,8.326666667,5.92044,3.433333333
7/1/69,8.983333333,5.93066,3.566666667
10/1/69,8.94,5.84532,3.566666667
1/1/70,8.573333333,6.03372,4.166666667
4/1/70,7.886666667,6.28821,4.766666667
7/1/70,6.706666667,6.20155,5.166666667
10/1/70,5.566666667,6.45709,5.833333333
1/1/71,3.856666667,5.85774,5.933333333
4/1/71,4.566666667,5.01233,5.9
7/1/71,5.476666667,4.54177,6.033333333
10/1/71,4.75,3.43176,5.933333333
1/1/72,3.546666667,3.32016,5.766666667
4/1/72,4.3,3.05164,5.7
7/1/72,4.743333333,2.94802,5.566666667
10/1/72,5.146666667,2.9321,5.366666667
1/1/73,6.536666667,2.83091,4.933333333
4/1/73,7.816666667,3.11314,4.933333333
7/1/73,10.56,3.39111,4.8
10/1/73,9.996666667,4.57271,4.766666667
1/1/74,9.323333333,5.43155,5.133333333
4/1/74,11.25,7.06922,5.2
7/1/74,12.09,9.62099,5.633333333
10/1/74,9.346666667,10.96774,6.6
1/1/75,6.303333333,11.57375,8.266666667
4/1/75,5.42,10.45392,8.866666667
7/1/75,6.16,8.17819,8.466666667
10/1/75,5.413333333,6.91214,8.3
1/1/76,4.826666667,6.64137,7.733333333
4/1/76,5.196666667,6.41345,7.566666667
7/1/76,5.283333333,6.76091,7.733333333
10/1/76,4.873333333,6.40483,7.766666667
1/1/77,4.66,6.16845,7.5
4/1/77,5.156666667,6.43651,7.133333333
7/1/77,5.82,6.21762,6.9
10/1/77,6.513333333,6.18966,6.666666667
1/1/78,6.756666667,6.31285,6.333333333
4/1/78,7.283333333,6.76196,6
7/1/78,8.1,7.53388,6.033333333
10/1/78,9.583333333,8.4492,5.9
1/1/79,10.07333333,9.03836,5.866666667
4/1/79,10.18,9.37178,5.7
7/1/79,10.94666667,9.82863,5.866666667
10/1/79,13.57666667,10.7002,5.966666667
1/1/80,15.04666667,12.19277,6.3
4/1/80,12.68666667,13.27684,7.333333333
7/1/80,9.836666667,12.06976,7.666666667
10/1/80,15.85333333,12.16036,7.4
1/1/81,16.57,10.69588,7.433333333
4/1/81,17.78,9.47631,7.4
7/1/81,17.57666667,11.50696,7.4
10/1/81,13.58666667,10.24623,8.233333333
1/1/82,14.22666667,9.04152,8.833333333
4/1/82,14.51333333,8.65604,9.433333333
7/1/82,11.00666667,6.86743,9.9
10/1/82,9.286666667,5.18732,10.66666667
1/1/83,8.653333333,4.55516,10.36666667
4/1/83,8.803333333,3.66876,10.13333333
7/1/83,9.46,3.23024,9.366666667
10/1/83,9.43,4.21233,8.533333333
1/1/84,9.686666667,5.0034,7.866666667
4/1/84,10.55666667,5.25784,7.433333333
7/1/84,11.39,5.25965,7.433333333
10/1/84,9.266666667,4.96221,7.3
1/1/85,8.476666667,4.66775,7.233333333
4/1/85,7.923333333,4.48287,7.3
7/1/85,7.9,4.11132,7.2
10/1/85,8.103333333,4.25798,7.033333333
1/1/86,7.826666667,4.2428,7.033333333
4/1/86,6.92,4.01471,7.166666667
7/1/86,6.206666667,4.07047,6.966666667
10/1/86,6.266666667,3.87387,6.833333333
1/1/87,6.22,3.59477,6.6
4/1/87,6.65,3.97761,6.266666667
7/1/87,6.843333333,3.96964,6
10/1/87,6.916666667,4.16305,5.833333333
1/1/88,6.663333333,4.33037,5.7
4/1/88,7.156666667,4.33551,5.466666667
7/1/88,7.983333333,4.51993,5.466666667
10/1/88,8.47,4.57952,5.333333333
1/1/89,9.443333333,4.6729,5.2
4/1/89,9.726666667,4.53558,5.233333333
7/1/89,9.083333333,4.37819,5.233333333
10/1/89,8.613333333,4.37898,5.366666667
